location,date,iso_code,continent,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,population,mobility_country_region,mobility_country_region_code,place_id,mobility_retail_and_recreation_percent_change_from_baseline,mobility_grocery_and_pharmacy_percent_change_from_baseline,mobility_parks_percent_change_from_baseline,mobility_transit_stations_percent_change_from_baseline,mobility_workplaces_percent_change_from_baseline,mobility_residential_percent_change_from_baseline
Afghanistan,2020-02-01,AFG,Asia,42102199.740909725,1.0,635814.9444926686,0.0,89748.73620929527,0.0008275862068965517,875.4515668980223,0.0,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-1.2,5.1,0.8666666666666667,4.966666666666667,2.6,0.8
Afghanistan,2020-03-01,AFG,Asia,831.0,113.0,504282.0249424613,4.0,0.6516774193548387,0.08867741935483871,649.540323827565,0.003096774193548387,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-10.741935483870968,-1.3064516129032258,-3.306451612903226,-9.064516129032258,-7.161290322580645,3.693548387096774
Afghanistan,2020-04-01,AFG,Asia,23353.0,1713.0,756.0,56.0,18.926766666666666,1.3884,0.6126666666666666,0.04533333333333333,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-50.25,-32.233333333333334,-29.0,-46.18333333333333,-40.56666666666667,16.166666666666668
Afghanistan,2020-05-01,AFG,Asia,204431.0,12616.0,4616.0,188.0,160.339,9.895,3.6204516129032256,0.1474193548387097,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-44.083333333333336,-20.11111111111111,-30.0,-41.333333333333336,-32.97222222222222,16.416666666666668
Afghanistan,2020-07-01,AFG,Asia,1071563.0,5304.0,32779.0,538.0,840.4469032258064,4.159967741935484,25.7091935483871,0.42193548387096774,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-8.827586206896552,18.96551724137931,-2.4827586206896552,-8.620689655172415,-15.568965517241379,6.379310344827586
Afghanistan,2020-08-01,AFG,Asia,1160813.0,1601.0,41853.0,131.0,910.4473870967742,1.2556451612903228,32.82616129032258,0.10280645161290322,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,-1.0161290322580645,18.596774193548388,3.8225806451612905,-4.612903225806452,-18.177419354838708,3.3225806451612905
Afghanistan,2020-09-01,AFG,Asia,1162715.0,1111.0,42884.0,56.0,942.3371666666667,0.9004666666666666,34.75586666666667,0.045399999999999996,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,26.5,40.11666666666667,10.016666666666667,-0.6,-2.816666666666667,3.033333333333333
Afghanistan,2020-10-01,AFG,Asia,1243782.0,2080.0,46147.0,75.0,975.5214516129032,1.6312903225806452,36.193935483870966,0.058806451612903224,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,32.483870967741936,49.75806451612903,7.274193548387097,2.693548387096774,-2.838709677419355,3.435483870967742
Afghanistan,2020-11-01,AFG,Asia,1303865.0,4881.0,48777.0,230.0,1056.7338666666667,3.9559333333333333,39.5319,0.18643333333333334,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,29.416666666666668,49.86666666666667,4.95,1.2,0.16666666666666666,2.7
Afghanistan,2020-12-01,AFG,Asia,1539551.0,6115.0,62050.0,426.0,1207.4986774193549,4.796161290322581,48.666999999999994,0.3340967741935484,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,64.83,0.511,41128772.0,Afghanistan,AF,ChIJbQL_-LZu0TgReNqWvg1GtfM,29.951612903225808,52.29032258064516,17.016129032258064,9.258064516129032,1.6935483870967742,5.67741935483871
